borrower_id,age,gender,location,has_mobile_money,has_bank_account,employment_type,monthly_income,months_active,monthly_tx_count,previous_defaults,informal_borrowing_history,default
1,23,M,Rural,0,0,Self-Employed,25201.73602836821,50,28,0,0,0
2,62,F,Urban,1,0,Informal,17624.57453066796,30,49,0,0,0
3,55,F,Rural,1,1,Informal,41780.1701054746,64,8,0,1,0
4,43,F,Rural,0,0,Self-Employed,18447.560045497055,46,3,0,1,0
5,42,M,Rural,0,0,Informal,42956.51302493091,10,17,0,1,0
6,66,M,Urban,1,0,Self-Employed,14902.682687011524,40,3,1,1,0
7,22,F,Urban,0,0,Informal,25174.379383552627,2,44,0,0,0
8,57,F,Urban,1,0,Self-Employed,18641.323068376543,88,39,0,0,0
9,29,F,Urban,0,0,Self-Employed,9431.364070600446,53,5,0,0,0
10,23,F,Rural,0,1,Self-Employed,10380.773276919164,72,5,0,0,0
11,48,M,Urban,1,0,Informal,8935.01613292965,17,27,0,0,0
12,73,M,Rural,1,1,Private Sector,15129.665250922193,52,20,0,0,0
13,59,M,Rural,1,0,Informal,8496.257745597022,97,34,2,1,1
14,61,M,Urban,0,0,Self-Employed,17339.504193660345,24,46,1,0,0
15,58,M,Urban,1,0,Informal,16874.253180082073,118,16,0,0,0
16,62,F,Rural,0,0,Informal,14416.754444173372,51,39,2,1,1
17,47,M,Urban,1,0,Self-Employed,14618.424164637732,17,16,0,1,0
18,25,M,Urban,1,1,Informal,7778.324759717554,22,11,0,0,0
19,65,F,Rural,1,0,Informal,9763.848460384019,55,48,1,0,1
20,43,M,Rural,1,0,Informal,3214.849888551487,114,12,0,1,0
21,46,M,Rural,1,0,Informal,11115.852575295474,57,7,0,1,0
22,39,F,Rural,0,0,Private Sector,5560.114726705137,21,29,1,0,0
23,28,M,Rural,0,0,Self-Employed,13252.015725294561,47,29,0,0,0
24,70,F,Rural,1,0,Informal,6907.974220986517,103,24,0,0,0
25,62,F,Rural,0,0,Self-Employed,2371.9905275589294,118,4,0,0,0
26,54,M,Rural,1,0,Self-Employed,74159.79153083674,74,5,1,0,0
27,40,F,Urban,0,0,Self-Employed,10166.766634204274,104,37,0,1,0
28,64,F,Urban,1,0,Self-Employed,38935.795324180035,97,7,0,1,0
29,49,F,Rural,0,0,Informal,8025.917298486182,51,13,0,1,0
30,43,F,Rural,1,0,Informal,47596.57790460702,106,40,1,0,0
31,43,F,Rural,1,0,Self-Employed,4869.101561148506,9,16,0,0,0
32,30,F,Rural,0,0,Self-Employed,14084.754723158454,96,17,0,0,0
33,23,F,Rural,1,1,Self-Employed,5106.101466973914,70,45,1,0,0
34,49,M,Rural,1,0,Informal,97989.69081269635,71,39,0,0,0
35,68,F,Rural,1,1,Self-Employed,10022.76039916494,112,35,0,1,0
36,21,F,Urban,0,0,Informal,23736.87553802081,32,9,0,1,0
37,66,F,Rural,1,0,Self-Employed,17544.30976636179,24,14,0,0,0
38,65,M,Urban,0,1,Informal,11987.389533397287,79,29,0,0,0
39,33,M,Rural,0,0,Self-Employed,18512.45258063465,89,41,0,0,0
40,54,F,Rural,0,0,Private Sector,36292.31741379058,1,25,0,1,0
